RDKIT_SMILES,First_Class,Second_Class
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
CC(=O)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)Cl,Other aliphatics,Others
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAenes
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,Other aliphatics,Others
O=C(Cl)C(F)(F)C(F)(F)C(=O)Cl,Other aliphatics,Others
C=COC(=O)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
NCC(F)(F)C(F)(F)CN,Other aliphatics,Others
COC(=O)C(F)(F)C(F)(F)OC(F)(F)F,Other aliphatics,PACF-based substances
C=COC(=O)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
FC(F)(F)C12C(F)(F)C3(F)C(F)(F)C(F)(C1(F)F)C(F)(F)C(C(F)(F)F)(C3(F)F)C2(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
CCO[Si](CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC,Silicon PFASs,Others
FC(F)(Cl)OC(F)(F)C(F)(Cl)Cl,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC1(F)CCC1(F)F,"Other aliphatics, cyclic","Others, cyclic"
C=CC(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTOs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
FC(F)(F)C(F)(F)C(F)(F)CCl,Other aliphatics,Others
NCC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=CC(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PFALs
FC(F)(F)C(Cl)(Cl)C(Cl)(Cl)C(F)(F)F,Other aliphatics,Others
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,Other aliphatics,Others
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Other aliphatics,Others
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:1 FTOHs
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAenes
N#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C#N,Other aliphatics,Others
O=C1OC(=O)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","PACF-based substances, cyclic"
FC1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
N#CC(F)(F)C(F)(F)C(F)(F)C#N,Other aliphatics,Others
O=C=NCC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)OC(F)(F)F,PFAAs,PFECAs
FC1(F)C(Cl)=C(Cl)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
O=C(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFECAs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)F,Other aliphatics,Others
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTSAs
O=C(O)CC[N+](CCO)(CCO)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
CC(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CC(C)(N)c1ccc(C(F)(F)C(F)(F)c2ccccc2)cc1,Side-chain aromatics,Others
O=S(=O)(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
FC(F)(F)CNCC(F)(F)F,Other aliphatics,Others
O=C(NC(=O)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
O=C(NCC(F)(F)F)C(F)(F)F,Other aliphatics,Others
O=C(OCC(F)(F)F)C(F)(F)F,Other aliphatics,PACF-based substances
O=C(NCCCN(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
O=S1(=O)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Perfluoro PFAA precursors, cyclic","PASFs, cyclic"
FC(F)(Br)C(F)(F)I,PFAS derivatives,PFAS halogen derivatives
FC(F)(Cl)C(F)(F)I,PFAS derivatives,PFAS halogen derivatives
FC(F)(F)C(F)(F)CBr,Other aliphatics,Others
NCC(F)(F)C(F)(F)F,Other aliphatics,Others
O=CC(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PFALs
O=C(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
CCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASEs
C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
FC(F)(c1ccccc1)C(F)(F)c1ccccc1,Side-chain aromatics,Others
OCC(F)(F)C(F)(F)CO,Other aliphatics,Others
COC(F)(F)C(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CN(C)NC(=S)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(I)(C(F)(F)F)C(F)(F)F,Perfluoro PFAA precursors,PFAIs
C=C(C)C(=O)OCC(F)(F)C(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)c1nc2c(Cl)c(Cl)c(Cl)c(Cl)c2[nH]1,Side-chain aromatics,Others
FC(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(N)=O,Other aliphatics,Others
COC(=O)C(F)(F)C(F)(F)OCC(=O)OC(F)F,Other aliphatics,PACF-based substances
FC(F)(c1nnc(-c2ccccc2)o1)C(F)(F)C(F)(F)c1nnc(-c2ccccc2)o1,Side-chain aromatics,Others
FC(F)(F)C(F)(c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1)C(F)(F)F,Side-chain aromatics,Others
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTACs
OC(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
FC1(F)C2=C(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAenes, cyclic"
O=S(=O)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
FC1(F)C(F)(F)C(F)(F)C(F)(C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=S(=O)(Nc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PASF-based substances
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAenes
FC(F)=C(F)OC(F)(F)C(F)(F)Cl,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)n1,Side-chain aromatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1nnc(-c2ccccc2)o1,Side-chain aromatics,Others
FC(F)(F)C(F)(F)C(F)(F)c1nnc(-c2ccccc2)o1,Side-chain aromatics,Others
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 diPAPs
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 diPAPs
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 monoPAPs
FC(F)(F)C(F)(F)c1nc2ccc(Cl)cc2[nH]1,Side-chain aromatics,Others
C=CCOC(=O)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=S(=O)(O)c1ccc(OC(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
FC(F)=C(F)OC(F)(F)C(F)(F)I,Other aliphatics,Others
FC(F)(Cl)C(F)(F)C(Cl)(Cl)OC(F)(F)C(F)(Cl)Cl,Other aliphatics,Others
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFACs
OC(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFACs
FC(F)C(F)(F)C(F)(F)Br,Other aliphatics,Others
N#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CC1=C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
FC(F)C(F)(F)C(F)(F)C(F)(F)COC(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC(F)(Cl)C(F)(F)C(F)(F)Cl,Other aliphatics,Others
O=C1C(=O)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
OC(O)(CC(O)(O)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(=O)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)c1nc2ccc(Cl)cc2[nH]1,Side-chain aromatics,Others
O=C1C(F)(F)C(F)(F)C1(F)F,"Perfluoro PFAA precursors, cyclic","PAFs, cyclic"
CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASAAs
CC(=O)OC1(Br)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
O=C(n1ccnc1)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
FC(F)(F)c1ccc(C(F)(F)C(F)(F)Cl)c(Cl)c1,Side-chain aromatics,Others
O=C(c1nnc2c(-c3ccccc3)cnn2c1-c1ccc(F)cc1)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Silicon PFASs,Others
Fc1ccc(-c2cc(C(F)(F)C(F)(F)F)nn3cnnc23)cc1,Side-chain aromatics,Others
C=CC(=O)OCC(F)(F)C(F)F,Other aliphatics,Others
C[Si](C)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Silicon PFASs,Others
O=NN(CCCl)C(=O)NC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
O=C(Nc1ccc(-c2ccccc2)cc1)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
O=C(Nc1ccc(-c2ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
CC(=O)Nc1ccc(-c2ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(Cl)c2)cc1Cl,Side-chain aromatics,Others
CCCCP(=O)(CCCC)Oc1ccc(CC(F)(F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
CCCCCCCCCCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,N-Alkyl FASAs
FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAenes
FC(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(Cl)C(F)(F)F,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,PACF-based substances
FC1(F)C=CC(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
FC(F)(F)C(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,Silicon PFASs,Others
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 diPAPs
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 monoPAPs
O=C(Nc1ccc2c(c1)Cc1cccc(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1-2)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PACF-based substances
O=C(SCc1ccccc1)c1ccccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
O=NN(CC(F)(F)C(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FN1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
C=CCOC(F)(F)C(F)(F)Cl,Other aliphatics,Others
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTOs
C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
C=COC(=O)C(F)(F)C(F)(F)Cl,Other aliphatics,PACF-based substances
C=CCOC(F)(F)C(F)(F)C(F)(F)Cl,Other aliphatics,Others
C=CCOC(=O)C(F)(F)C(F)(F)Cl,Other aliphatics,PACF-based substances
FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFSAs
O=S(=O)(O)c1ccc(OC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F)cc1,Side-chain aromatics,Others
CCOCCOC(F)(F)C(F)F,Other aliphatics,Others
CCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASEs
CN(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(=O)(=O)O,Other aliphatics,PASF-based substances
CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASAAs
FC(F)=C(F)OC(F)(F)C(F)(F)Br,Other aliphatics,Others
OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFACs
FC(F)(F)C(F)(F)c1nc(C(F)(F)C(F)(F)F)nc(C(F)(F)C(F)(F)F)n1,Side-chain aromatics,Others
CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,Silicon PFASs,Others
CO[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC,Silicon PFASs,Others
NCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
O=S(=O)(n1ccnc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,PASF-based substances
C#CCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
CC(C)NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
C=CN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
FC(F)(F)C(F)(F)c1nnc(C(F)(F)C(F)(F)F)o1,Side-chain aromatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)SCl,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)c1nc(C(F)(F)C(F)(F)C(F)(F)F)nc(C(F)(F)C(F)(F)C(F)(F)F)n1,Side-chain aromatics,Others
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTACs
OC(C(F)(F)F)(C(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC1(F)C(F)(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=S(=O)(O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,PFAAs,PFSAs
CN(CCO)S(=O)(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASEs
O=S(=O)(N(CCO)CCO)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Other aliphatics,PASF-based substances
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 diPAPs
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 diPAPs
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 diPAPs
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 diPAPs
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 diPAPs
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,PASF-based substances
O=S(=O)(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,PASF-based substances
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)SSC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCCCC(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,SFAs
CC/C(C)=N/O[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(O/N=C(\C)CC)O/N=C(\C)CC,Silicon PFASs,Others
